Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
BG1_R1_001	(1.0, 5.231278678751931)	(2.0, 1.1223343283338167)	(3.0, 0.7555452251451908)	(4.0, 0.6891019241839135)	(5.0, 0.6469297048300617)	(6.0, 0.7136329518888137)	(7.0, 0.7614573311382938)	(8.0, 0.7390807035253765)	(9.0, 0.80223185593377)	('>10', 16.912771495507812)	('>50', 10.00612449175397)	('>100', 30.72549181693209)	('>500', 12.170084818592308)	('>1k', 14.162096256149734)	('>5k', 1.8947159619568326)	('>10k+', 2.6671224553754174)
BG1_R2_001	(1.0, 3.3638486405268395)	(2.0, 0.5067016775659967)	(3.0, 0.46514723115658396)	(4.0, 0.5733373522126142)	(5.0, 0.5672320277322142)	(6.0, 0.6896602226055027)	(7.0, 0.6968718685827013)	(8.0, 0.7466503629542599)	(9.0, 0.7751601163883355)	('>10', 17.175865976231382)	('>50', 10.238470808067154)	('>100', 31.87981168312332)	('>500', 12.330084231645216)	('>1k', 14.32990785914251)	('>5k', 1.8831965444995473)	('>10k+', 3.778053397565577)
BG2_R1_001	(1.0, 5.91087712329098)	(2.0, 1.569792942308873)	(3.0, 1.160742352579023)	(4.0, 1.0757683703453491)	(5.0, 1.157411268907502)	(6.0, 1.1032111966646672)	(7.0, 1.1241847038556023)	(8.0, 1.0908044289617682)	(9.0, 0.9912706345827329)	('>10', 13.183873925689046)	('>50', 8.272812345171165)	('>100', 28.64564831196964)	('>500', 12.709257151433462)	('>1k', 16.546830196002798)	('>5k', 2.1833492182585728)	('>10k+', 3.274165829979182)
BG2_R2_001	(1.0, 4.1349243697956535)	(2.0, 0.8738626568730609)	(3.0, 0.8552266283212835)	(4.0, 0.9267621174392995)	(5.0, 1.0170676842533328)	(6.0, 1.0413096456550632)	(7.0, 1.1262936472567535)	(8.0, 1.0630133387455796)	(9.0, 0.978275268316686)	('>10', 13.378690310808953)	('>50', 8.612631586867193)	('>100', 29.506796783549007)	('>500', 13.064192007891782)	('>1k', 16.89047669674216)	('>5k', 2.2124587173332335)	('>10k+', 4.318018540151396)
BG3_R1_001	(1.0, 6.693509816398271)	(2.0, 1.1869537467650086)	(3.0, 0.894784644008615)	(4.0, 0.886194503098749)	(5.0, 0.9673110795980806)	(6.0, 1.0582140991014568)	(7.0, 1.0437990379217181)	(8.0, 1.0586494001533906)	(9.0, 1.1896396214909761)	('>10', 62.524927110653)	('>50', 11.211787413818072)	('>100', 7.397996776503867)	('>500', 1.3218949873270598)	('>1k', 1.2800836044218633)	('>5k', 0.20680208316386345)	('>10k+', 1.0774520755757608)
BG3_R2_001	(1.0, 4.419097069423466)	(2.0, 0.8963528427598316)	(3.0, 0.8791676382877012)	(4.0, 0.9343695956399772)	(5.0, 0.9654579403298884)	(6.0, 1.0293914936255768)	(7.0, 1.104941792738642)	(8.0, 1.1331864878931126)	(9.0, 1.1266575172361757)	('>10', 63.81978086058835)	('>50', 11.364541379535776)	('>100', 7.496356953385483)	('>500', 1.3526716942842358)	('>1k', 1.242414855268835)	('>5k', 0.21067579051035518)	('>10k+', 2.0249360884926064)
BM1_R1_001	(1.0, 7.726427500055956)	(2.0, 5.240647608555485)	(3.0, 5.419556130925295)	(4.0, 5.1472074618515)	(5.0, 4.506116573581152)	(6.0, 3.994806953249344)	(7.0, 3.6561224657724405)	(8.0, 3.263142251020453)	(9.0, 3.0496834645844064)	('>10', 52.95138158584716)	('>50', 3.803313196184046)	('>100', 1.0163497325175312)	('>500', 0.22524507585523662)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
BM1_R2_001	(1.0, 9.129812391464933)	(2.0, 5.299298197408645)	(3.0, 5.467331281274718)	(4.0, 5.069807781812716)	(5.0, 4.408733279228881)	(6.0, 3.941442160352297)	(7.0, 3.4925930688185676)	(8.0, 3.1463150887754794)	(9.0, 3.0473659920635465)	('>10', 46.12575040768409)	('>50', 2.019723944166083)	('>100', 0.8983409805548492)	('>500', 0.2194681129709948)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 7.734017313424199)
BM2_R1_001	(1.0, 12.767989340277428)	(2.0, 7.853922063568423)	(3.0, 6.250232973135455)	(4.0, 5.769888078620197)	(5.0, 5.043624859165311)	(6.0, 4.914053837789269)	(7.0, 4.4642543439703815)	(8.0, 4.386090913249896)	(9.0, 4.044578499719126)	('>10', 44.309345624943234)	('>50', 0.15538364348045394)	('>100', 0.0406358220808161)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
BM2_R2_001	(1.0, 15.925923212075329)	(2.0, 7.708392987402601)	(3.0, 6.063324025187475)	(4.0, 5.302519209957519)	(5.0, 4.689138003087196)	(6.0, 4.331298406781101)	(7.0, 3.8731035783878744)	(8.0, 3.692578686510047)	(9.0, 3.279328932661582)	('>10', 24.21745085175317)	('>50', 0.08691860067011145)	('>100', 0.11448749603684284)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 20.715536009489142)
