Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
BG1_R1_001	0.0	0.0
BG1_R2_001	0.9776483733816692	0.0
BG2_R1_001	0.0	0.0
BG2_R2_001	0.9422313430308129	0.0
BG3_R1_001	0.28729754453243467	0.24298987102443398
BG3_R2_001	0.848760127805616	0.5293209352169537
BM1_R1_001	0.1298285466689818	0.0
BM1_R2_001	7.584058010262031	0.12170430632527829
BM2_R1_001	0.0	0.0
BM2_R2_001	20.17102015554744	0.0
BM3_R1_001	0.0	0.0
BM3_R2_001	2.0492675830702316	0.0
GFP-1_R1_001	0.0	0.0
GFP-1_R2_001	0.10549168254733532	0.0
GFP-2_R1_001	0.0	0.0
GFP-2_R2_001	0.0	0.0
GFP-3_R1_001	0.0	0.0
GFP-3_R2_001	0.11327679282654979	0.0
YAF-1_R1_001	0.0	0.0
YAF-1_R2_001	0.0	0.0
YAF-2_R1_001	0.0	0.0
YAF-2_R2_001	0.0	0.0
YAF-3_R1_001	0.0	0.0
YAF-3_R2_001	0.0	0.0
