Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
BG1_R1_001	(1, 38.57480568028544)	(2, 39.059382404228735)	(3, 39.30312175583335)	(4, 39.250199876841336)	(5, 39.20170736925447)	(6, 39.27459061294011)	(7, 39.33271185377706)	(8, 39.340690004683175)	(9, 39.37822867135264)	(10, 39.397122263983434)	(15, 39.56115338985332)	(20, 39.601693108903405)	(25, 39.39819251029114)	(30, 39.36635114642994)	(35, 39.387209776719196)	(40, 39.413140554602045)	(45, 39.40202840551651)	(50, 39.415410459468305)	(55, 39.40572411057165)	(60, 39.39876676784189)	(65, 39.39165494305101)	(70, 39.37449949819323)	(75, 39.34778226173181)	(80, 39.32222315023021)	(85, 39.2685145777423)	(90, 39.1491871314405)	(95, 38.97731214471237)	(100, 38.748379024578824)	(105, 38.45701469545382)	(110, 38.147892437952365)	(115, 37.83353974752838)	(120, 37.48870961882159)	(125, 37.11886568695524)	(130, 36.714578485116235)	(135, 36.32217564255364)	(140, 35.997233387486304)	(145, 35.69301473963132)	(150, 35.52617851939893)
BG1_R2_001	(1, 38.637266518223214)	(2, 38.855379164131676)	(3, 39.125220885491345)	(4, 39.067838383478275)	(5, 39.240549517059755)	(6, 39.33744336038865)	(7, 39.363561543559236)	(8, 39.391354752437906)	(9, 39.33100746884256)	(10, 39.41805411451939)	(15, 39.47295188304472)	(20, 39.493096077576354)	(25, 39.24279510472122)	(30, 39.209734545011464)	(35, 39.22675621424679)	(40, 39.22583482286046)	(45, 39.241836924848386)	(50, 39.25646415258846)	(55, 39.25422115445535)	(60, 39.236839251481435)	(65, 39.244621522675196)	(70, 39.24419159679992)	(75, 39.23488558338597)	(80, 39.22414147360183)	(85, 39.21899699213937)	(90, 39.20047863315275)	(95, 39.18366061765276)	(100, 39.15477299861038)	(105, 39.0897209400362)	(110, 39.059565567953854)	(115, 38.98773386310958)	(120, 38.94698563536632)	(125, 38.90687481769098)	(130, 38.86120285680554)	(135, 38.81024284517583)	(140, 38.758131329774315)	(145, 38.70956708866281)	(150, 38.656372163970914)
BG2_R1_001	(1, 38.62850711762002)	(2, 39.13908218874105)	(3, 39.34067739904511)	(4, 39.31808209293149)	(5, 39.258608387774004)	(6, 39.346625670409026)	(7, 39.382856438499445)	(8, 39.39381783441158)	(9, 39.42137053702851)	(10, 39.436446565645284)	(15, 39.562992474127626)	(20, 39.59178421659303)	(25, 39.387892606494596)	(30, 39.34963661134281)	(35, 39.364364220119285)	(40, 39.3853378683552)	(45, 39.36949571113455)	(50, 39.37855068566771)	(55, 39.365908112798195)	(60, 39.356371747423886)	(65, 39.349980559323015)	(70, 39.33467422492944)	(75, 39.31379901158358)	(80, 39.28294036475243)	(85, 39.17925443987688)	(90, 38.9974922180522)	(95, 38.669063548532)	(100, 38.263399960132695)	(105, 37.78806901913381)	(110, 37.245340460224064)	(115, 36.77399140593343)	(120, 36.29730446344402)	(125, 35.831628647836745)	(130, 35.41686098743396)	(135, 35.101351772485806)	(140, 34.94853523769923)	(145, 34.82895687333055)	(150, 34.779765336193776)
BG2_R2_001	(1, 38.541126236471705)	(2, 38.81358286904954)	(3, 39.03913998458537)	(4, 39.041168495383594)	(5, 39.127425167840364)	(6, 39.22303527205393)	(7, 39.2773220097245)	(8, 39.29719428016546)	(9, 39.27370822202998)	(10, 39.34541330064785)	(15, 39.3999093630509)	(20, 39.42200453569993)	(25, 39.14165323513817)	(30, 39.101359746445034)	(35, 39.11678435597541)	(40, 39.114103827051665)	(45, 39.13034625643475)	(50, 39.14242718659128)	(55, 39.14108520096974)	(60, 39.12173442115219)	(65, 39.127606630210934)	(70, 39.128189714770755)	(75, 39.118771279138926)	(80, 39.10586674377483)	(85, 39.09861841732759)	(90, 39.068303505012146)	(95, 39.035698119403904)	(100, 38.991436264197446)	(105, 38.881632195393415)	(110, 38.809705549641066)	(115, 38.72017105022635)	(120, 38.66725463711696)	(125, 38.63896966450268)	(130, 38.59089851430253)	(135, 38.55835255644373)	(140, 38.51121469573452)	(145, 38.48343361440862)	(150, 38.43513439685253)
BG3_R1_001	(1, 38.54286503083159)	(2, 39.06181537766433)	(3, 39.31785832142334)	(4, 39.222009806476336)	(5, 39.170022204050134)	(6, 39.237896069093374)	(7, 39.30471547501869)	(8, 39.31908916683668)	(9, 39.35239280039873)	(10, 39.3640109375926)	(15, 39.532667605203855)	(20, 39.57236284503094)	(25, 39.359443254131456)	(30, 39.31279827944989)	(35, 39.318910927515056)	(40, 39.327954599433426)	(45, 39.30475046742041)	(50, 39.29893072829918)	(55, 39.280302201979396)	(60, 39.24996670802234)	(65, 39.236456277897304)	(70, 39.20361166145586)	(75, 39.1636840942886)	(80, 39.13388517422938)	(85, 38.95574461816513)	(90, 38.81900296987055)	(95, 38.2531850861009)	(100, 37.791885827831685)	(105, 37.12856890741767)	(110, 36.24515545988869)	(115, 35.69773245981338)	(120, 35.14490151681604)	(125, 34.86742232833514)	(130, 34.587449068302774)	(135, 34.542886187304234)	(140, 34.4990662709901)	(145, 34.51986403990584)	(150, 34.50180522540603)
BG3_R2_001	(1, 38.59257503150217)	(2, 38.874827047253156)	(3, 39.13033147252683)	(4, 39.059496086452235)	(5, 39.21875449722196)	(6, 39.29951552011917)	(7, 39.35417467040768)	(8, 39.372623922617855)	(9, 39.33410808238296)	(10, 39.40611626546299)	(15, 39.452560158459754)	(20, 39.46661491612564)	(25, 39.21083781986103)	(30, 39.16653234091741)	(35, 39.1657395741551)	(40, 39.14523494526655)	(45, 39.14656082403771)	(50, 39.14084446924577)	(55, 39.12704593205808)	(60, 39.08631061550322)	(65, 39.08049610118924)	(70, 39.057373481982765)	(75, 39.03325433579794)	(80, 39.002316605414094)	(85, 38.97975598507848)	(90, 38.944554214649266)	(95, 38.8649140081021)	(100, 38.84033123621149)	(105, 38.628828714773285)	(110, 38.55508574163036)	(115, 38.43576033938487)	(120, 38.23545389099608)	(125, 38.428784952834164)	(130, 38.22618152221555)	(135, 38.38746125467519)	(140, 38.21535083541543)	(145, 38.3228647462649)	(150, 38.23259670478746)
BM1_R1_001	(1, 36.00834088675287)	(2, 36.03378409592338)	(3, 37.18212475965789)	(4, 36.84783935031565)	(5, 37.815060430011265)	(6, 38.061014637969514)	(7, 38.240439282454346)	(8, 38.43772451178891)	(9, 38.2559454305927)	(10, 38.55831754947423)	(15, 39.14294553095097)	(20, 39.334413167004115)	(25, 38.54768021078421)	(30, 38.51717002442051)	(35, 38.70869373366192)	(40, 38.86347484910418)	(45, 38.96670750026683)	(50, 39.041414191295594)	(55, 39.08514490618095)	(60, 39.112766686154224)	(65, 39.13193607019344)	(70, 39.13098346318843)	(75, 39.12925666386832)	(80, 39.10637689147448)	(85, 39.079696886185765)	(90, 39.012452389562114)	(95, 38.92967561979192)	(100, 38.795568306541924)	(105, 38.582940051071205)	(110, 38.38180998516928)	(115, 38.133291703239024)	(120, 37.88684366890694)	(125, 37.58782001143766)	(130, 37.253351727038265)	(135, 36.94451526162443)	(140, 36.71667587944902)	(145, 36.57329482549609)	(150, 36.477526917519846)
BM1_R2_001	(1, 35.38915589142829)	(2, 34.68703673908922)	(3, 35.634941242626454)	(4, 35.64073653407163)	(5, 37.069946523382676)	(6, 37.80099752927514)	(7, 37.808487760274375)	(8, 38.06043479022733)	(9, 37.84989589821442)	(10, 38.17829808315717)	(15, 38.39319857714285)	(20, 38.51759184772307)	(25, 37.43039198663165)	(30, 37.39175628553359)	(35, 37.584985129454196)	(40, 37.737855296128565)	(45, 37.86877089801529)	(50, 37.9891033228143)	(55, 38.07151115649358)	(60, 38.14130379720622)	(65, 38.19645623822184)	(70, 38.23540735100382)	(75, 38.267476754318196)	(80, 38.29813030962913)	(85, 38.31203582312095)	(90, 38.30873132818586)	(95, 38.306463550038146)	(100, 38.27976952645237)	(105, 38.22438196036327)	(110, 38.19258846262292)	(115, 38.111044665799014)	(120, 38.046171172965074)	(125, 37.98446390368156)	(130, 37.90770926689085)	(135, 37.8485921965875)	(140, 37.767426256589)	(145, 37.72535288673375)	(150, 37.64971143016897)
BM2_R1_001	(1, 34.08090554557182)	(2, 34.41402014809071)	(3, 36.259606135399345)	(4, 35.84565309789944)	(5, 37.22170729342987)	(6, 37.64847472540583)	(7, 37.92964945901407)	(8, 37.93966012214128)	(9, 37.85881423042794)	(10, 38.25780906291245)	(15, 38.98346693312057)	(20, 39.21381583362539)	(25, 38.00672970091047)	(30, 37.977834117533014)	(35, 38.24308649063807)	(40, 38.46388406272603)	(45, 38.624708628184955)	(50, 38.7449491823693)	(55, 38.80174114699456)	(60, 38.84826966526728)	(65, 38.881674334673065)	(70, 38.87173898454219)	(75, 38.84520867665372)	(80, 38.82439619110114)	(85, 38.78259747813313)	(90, 38.72229861230211)	(95, 38.618101963357624)	(100, 38.49319647743965)	(105, 38.2963215939511)	(110, 38.15192719246571)	(115, 38.00862147389771)	(120, 37.91201577844557)	(125, 37.81831000618909)	(130, 37.66390941561589)	(135, 37.55336335910878)	(140, 37.445908118144466)	(145, 37.37273445830568)	(150, 37.29846316747075)
BM2_R2_001	(1, 30.83680941337887)	(2, 31.111366297061302)	(3, 33.042041056768106)	(4, 33.091538845846976)	(5, 35.137196417785795)	(6, 36.14586114073091)	(7, 36.36392582042697)	(8, 36.45421939197805)	(9, 36.31347729797848)	(10, 36.84282103096781)	(15, 37.119497863646195)	(20, 37.26221002632227)	(25, 35.36326813663716)	(30, 35.323194911525874)	(35, 35.713281931591936)	(40, 36.01197849478402)	(45, 36.26002818644813)	(50, 36.48813633889357)	(55, 36.681094946572514)	(60, 36.83355082135906)	(65, 36.96050840000895)	(70, 37.06663186858255)	(75, 37.150749028760615)	(80, 37.23632621712513)	(85, 37.28926603383864)	(90, 37.312049333740966)	(95, 37.33320408330661)	(100, 37.314985794924944)	(105, 37.24539509496149)	(110, 37.199688308589415)	(115, 37.106155532522536)	(120, 37.013293116690406)	(125, 36.98600371345269)	(130, 36.889394289634396)	(135, 36.855167888327976)	(140, 36.73867508780302)	(145, 36.71750393342629)	(150, 36.645208676653716)
